web_scraper_order,web_scraper_start_url,Name,price,adress,image_link
"1765115955-50","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies de guinée","Prix sur demande","Thies, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-de-guinee-1417652"
"1765115955-51","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395711"
"1765115955-52","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395598"
"1765115955-53","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oiseaux exotiques","20 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-1393968"
"1765115955-54","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1389654"
"1765115955-55","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cailles","12 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905"
"1765115955-56","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","Prix sur demande","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739"
"1765115955-57","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","60 000CFA","Fass, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792"
"1765115955-58","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387"
"1765115955-59","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","350 000CFA","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114"
"1765115955-60","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419"
"1765115955-61","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139"
